question,question_type,answer_option1,explanation1,answer_option2,explanation2,answer_option3,explanation3,answer_option4,explanation4,answer_option5,explanation5,answer_option6,explanation6,correct_answers,overall_explanation,domain
あなたの会社は、ASP.NetアプリケーションをホストするためにAzure仮想マシンを設定する予定です。会社のユーザーはインターネット経由でアプリケーションにアクセスします。ただし、アプリケーションにアクセスする前に、ユーザーは自分のEntra IDアカウントを使用して事前認証される必要があります。この要件を満たすためにどのソリューションをお勧めしますか？,multiple-choice,Entra ID エンタープライズアプリケーション,Entra IDエンタープライズアプリケーションは、ユーザーを自分のEntra IDアカウントを使用して事前認証するという要件を満たす最も適切なソリューションです。このソリューションはEntra IDアカウントとシームレスに統合され、Azure仮想マシン上にホストされたASP.Netアプリケーションにアクセスする前にユーザーが認証されることを保証します。,Azureトラフィックマネージャープロファイル,Azureトラフィックマネージャーは、ユーザーを自分のEntra IDアカウントを使用して事前認証するための適切なソリューションではありません。Azureトラフィックマネージャーは、DNSベースのトラフィック負荷分散装置であり、ルーティングルールに基づいてユーザーのトラフィックを特定のエンドポイントに誘導します。ユーザーのEntra IDアカウントによる事前認証に必要な機能は提供しません。,公開Azureロードバランサー,公開Azureロードバランサーは、ユーザーを自分のEntra IDアカウントで事前認証するために推奨されるソリューションではありません。Azureロートバランサーは、複数のサーバー間で着信ネットワークトラフィックを分配するLayer 4ロードバランサーです。Entra IDアカウントに基づくユーザー認証を処理する機能はありません。,Azureアプリケーションゲートウェイリソース,Azureアプリケーションゲートウェイリソースは、ユーザーを自分のEntra IDアカウントで事前認証するための理想的なソリューションではありません。Azureアプリケーションゲートウェイは、さまざまなアプリケーション配信コントローラー機能を提供するWebトラフィック負荷分散装置です。ルーティングや負荷分散には役立つ可能性がありますが、Entra IDアカウントに必要な特定の認証機能は提供しません。,,,,,1,,アイデンティティ、ガバナンスおよび監視ソリューションの設計 (25–30%)
ある企業が、Azure Web アプリを使用して .Net core ベースのアプリケーションを展開する計画を立てています。このアプリケーションは、以下を含むいくつかの要件を満たす必要があります：<ul><li>テストチームにさまざまなアプリケーションコンポーネントやそれらの間で行われる呼び出しを表示する能力を提供すること。</li><li>ビジネスがアプリケーションに戻ってくるユーザーの数を分析できるようにすること。</li><li>IT 管理者がアプリケーション内で満たされたクリティカルな条件に基づいてアラートを受け取ることを確実にすること。</li></ul>どの Azure サービスが、<em>IT 管理者がアプリケーション内で満たされたクリティカルな条件に基づいてアラートを受け取ることを確実にする</em>という要件に最適でしょうか？,multiple-choice,Application Insights,Application Insightsは、主にアプリケーションのパフォーマンスと使用状況を監視し分析するために使用されます。アプリケーションコンポーネントやユーザーの行動に関する貴重なインサイトを提供しますが、アプリケーション内で満たされたクリティカルな条件に基づいてIT管理者にアラートを送信するための最適な適合ではありません。,Azure Monitor,Azure Monitorは、アプリケーション内で満たされたクリティカルな条件に基づいてIT管理者がアラートを受け取ることを確実にするための最適なサービスです。アプリケーションやインフラストラクチャからのテレメトリデータを収集、分析、および処理するための包括的なソリューションを提供します。Azure Monitorを使用することで、管理者は特定のメトリック、ログ、イベントに基づいてアラートを設定し、クリティカルな条件に積極的に対応できます。,Azure Advisor,Azure Advisorは、ベストプラクティスに基づいてAzureリソースを最適化するための推奨事項を提供するサービスです。Azureの展開の効率性やパフォーマンスを向上させるのに役立ちますが、アプリケーション内で満たされたクリティカルな条件に基づいてIT管理者にアラートを送信するためには設計されていません。,Azure Policies,Azure Policiesは、組織の標準およびセキュリティ要件に準拠するためにAzureリソースにルールや規制を適用するために使用されます。ガバナンスやコンプライアンスのために重要ですが、アプリケーション内で満たされたクリティカルな条件に基づいてIT管理者にアラートを送信するための最適な適合ではありません。,,,,,2,,アイデンティティ、ガバナンス、監視ソリューションの設計 (25–30%)
ある企業がPremium P2ライセンスを購入し、Azureサブスクリプションとテナントを設定しました。各部門には独自のアイデンティティ管理要件があります：<br><img src='https://img-c.udemycdn.com/redactor/raw/practice_test_question/2024-05-07_05-51-18-de6433b8a52d4813aa10f1897958259a.png'>調達部門に対して、どの提案をしますか？,multiple-choice,マネージドサービスアイデンティティ,マネージドサービスアイデンティティは、主にサービスやアプリケーションがAzureリソースに安全にアクセスするために認証するために使用されます。調達のような特定の部門内でのユーザーアイデンティティ管理のためには設計されていません。,アイデンティティ保護,アイデンティティ保護は、ユーザーのアイデンティティを保護し、潜在的な脅威や脆弱性を検出することに重点を置いています。全体的なセキュリティにとって重要ですが、調達部門の特定のアイデンティティ管理ニーズに直接対処するものではありません。,特権アイデンティティ管理,特権アイデンティティ管理（PIM）は、調達部門に推奨される選択肢です。これは、部門内の特権アクセスの管理と監視を可能にします。厳格なアクセス制御を実装し、最小権限の原則を確実にすることができます。,エントラコネクト,Microsoft Entra Connectは、ハイブリッドアイデンティティの目標を達成するために設計されたオンプレミスのMicrosoftアプリケーションです。調達部門内でのユーザーアイデンティティ管理の具体的な要件には合致しません。,,,,,3,,アイデンティティ、ガバナンス、監視ソリューションの設計（25–30％）
ある企業がAzureプラットフォーム上にアプリケーションを展開する計画を立てています。このアプリケーションは、.Net Coreプログラミング言語を使用して開発され、Azure Webアプリにホストされます。アプリケーションには以下のいくつかの要件があります：<ul><li>Azureリソースの使用量とパフォーマンスデータを、実際のアプリケーションの設定およびパフォーマンスデータと相関させる機能を提供すること。</li><li>アプリケーションコンポーネント間の関係を視覚化する機能を提供すること。</li><li>アプリケーション内で特定のコード行に対するリクエストおよび例外を追跡できるようにすること。</li><li>ユーザーがアプリケーションに戻る方法を分析し、どのくらいの頻度で特定のドロップダウン値を選択するかを見る機能を提供すること。</li></ul>要件「Azureリソースの使用量とパフォーマンスデータを、実際のアプリケーションの設定およびパフォーマンスデータと相関させる機能を提供する」を最も満たすAzureサービスはどれですか？,multiple-choice,Azure Application Insights,Azure Application Insightsは、アプリケーションのパフォーマンスと使用状況を監視するのに役立つサービスです。アプリケーションのパフォーマンスと使用状況に関する洞察を提供しますが、Azureリソースの使用状況とアプリケーションパフォーマンスデータとの相関性を特に重視しているわけではありません。,Azure Service Map,Azure Service Mapは、アプリケーションコンポーネントと依存関係を自動的に発見するサービスです。アプリケーションコンポーネント間の関係を視覚化するのに役立ちますが、Azureリソースの使用状況とアプリケーションパフォーマンスデータとの相関性を特に提供することはありません。,Azure Log Analytics,Azure Log Analyticsは、Azureリソースやアプリケーションを含むさまざまなソースからデータを収集・分析するサービスです。Azureリソースの使用状況とパフォーマンスデータを実際のアプリケーションの設定およびパフォーマンスデータと相関させるために使用でき、この要件を最も満たす選択肢です。,Azure Activity Log,Azure Activity Logは、サブスクリプション内のリソースで実行された操作に関する洞察を提供します。Azureリソースに関連するアクティビティやイベントを追跡することはできますが、このシナリオで要求されたようにAzureリソースの使用状況をアプリケーションパフォーマンスデータと直接相関させることはできません。,,,,,3,,アイデンティティ、ガバナンス＆監視ソリューションの設計 (25–30%)
あなたの最高セキュリティ責任者が、新しいセキュリティガイドラインを発表し、次の2つの原則を強調しました：<ul><li>最小限のアクセス権と適時（JIT）アクセスの原則は、例外なく実践されるべきです。</li><li>一部のロールに付与された高レベルのアクセス権は、定期的に見直され、常に最小限のアクセス権と適時アクセスの原則が遵守されることを確認しなければなりません。</li></ul>これらの要件を満たすために、どのサービスを使用する予定ですか？,multi-select,PIM,PIM（特権アイデンティティ管理）は、Azure ADのロールに対して適時アクセスを提供することで、最小権限の原則を強制するのに役立つため、正しい選択です。必要に応じてユーザーが昇格したアクセスをリクエストでき、高レベルのアクセス権が限られた期間のみ付与されることを保証します。これは最高セキュリティ責任者が発表したセキュリティガイドラインに整合しています。,アイデンティティ保護,アイデンティティ保護は、最小権限の原則や適時アクセスを強制することとは直接関係がありません。アイデンティティに基づく攻撃から保護するのに役立ちますが、セキュリティガイドラインで述べられた要件に具体的に対処しているわけではありません。,アクセスレビュー,アクセスレビューは、ロールに付与された高レベルのアクセス権を定期的に見直し、検証するために不可欠です。定期的なアクセスレビューを実施することで、組織は最小限のアクセス権と適時アクセスの原則が常に遵守されることを確認できるため、セキュリティガイドラインの要件を満たすのに適した選択肢となります。,MFA,MFA（多要素認証）は、ユーザー認証のために追加の検証ステップを要求することでセキュリティを強化するのに重要です。MFAは良いセキュリティプラクティスですが、セキュリティガイドラインで述べられている最小権限の原則や適時アクセスの強制に直接関係するわけではありません。,,,,,"1,3",<a href='https://learn.microsoft.com/en-us/entra/id-governance/privileged-identity-management/pim-configure'>特権アイデンティティ管理とは？ - Microsoft Entra ID ガバナンス | Microsoft Learn</a><a href='https://learn.microsoft.com/en-us/entra/id-governance/access-reviews-overview'>アクセスレビューとは？ - Microsoft Entra - Microsoft Entra ID ガバナンス | Microsoft Learn</a>,アイデンティティ、ガバナンスおよび監視ソリューションの設計（25–30%）
あなたは、次のコンポーネントで構成されたAzure環境を会社のために設定する必要があります：<ul><li>ルート管理グループ</li><li>5つの子管理グループ</li><li>各子管理グループには5つのAzureサブスクリプションを含める</li><li>各サブスクリプションには約10のリソースグループを含める</li></ul>また、サブスクリプションとリソースグループの役割割り当ても行う必要があります。さらに、実装中の管理作業を最小限に抑えることを目指すべきです。これらの要件を満たすために、どの解決策を推奨しますか？,multiple-choice,Azureポリシー,Azureポリシーは、組織の標準を強制し、規模におけるコンプライアンスを評価するために使用されます。ガバナンスやコンプライアンスを支援することはできますが、質問で説明された管理グループ、サブスクリプション、およびリソースグループの階層構造を設定するための最も適切な解決策ではありません。,Azure Bicep,Azure Bicepは、Azureリソースを宣言的にデプロイするためのドメイン固有言語です。管理グループ、サブスクリプション、リソースグループを構造化された繰り返し可能な方法で定義し、デプロイすることを可能にします。Azure Bicepを使用することで、管理作業を最小限に抑えながら、質問で説明された全体のAzure環境を簡単に設定できます。,Microsoft Defender for Cloud,Microsoft Defender for Cloudは、Azureリソースを保護するためのクラウドネイティブなセキュリティソリューションです。セキュリティと脅威保護に不可欠ですが、質問で示された管理グループ、サブスクリプション、リソースグループの階層構造を設定することに直接関係するものではありません。,Azure特権ID管理,Azure特権ID管理（PIM）は、組織内のアクセスを管理、制御、および監視するのに役立ちます。特権アクセスの管理には重要ですが、質問で指定された管理グループ、サブスクリプション、およびリソースグループの階層構造を設定するための主要な解決策ではありません。,,,,,2,,アイデンティティ、ガバナンス、モニタリングソリューションの設計（25〜30％）
あなたの組織は複数のAzure Cosmos DBアカウントを運営しており、アプリケーション操作に適したAPIを提案する任務を負っています。利用可能なオプションの中から、JSONドキュメントに対応するAPIを選択するとしたら、どれになりますか？,multi-select,SQL,Azure Cosmos DBのSQL APIは、JSONドキュメントに対応するための最も適切な選択肢です。JSONデータをネイティブに保存し、SQL構文を使用してクエリを実行できるため、JSONドキュメントを効率的に扱うための多目的なオプションとなっています。,Table,Azure Cosmos DBのTable APIは、JSONドキュメントに対応するためのベストな選択肢ではありません。キーと値のペアを保存するために設計されており、JSONドキュメントを効果的に扱うために必要な柔軟性やクエリ機能を提供していません。,Gremlin,Azure Cosmos DBのGremlin APIは、グラフデータ向けに設計されているため、JSONドキュメントに対応するためには最も適切なオプションではありません。グラフのトラバーサルやクエリ実行に最適化されており、JSONデータを扱うには理想的ではないかもしれません。,Cassandra,Azure Cosmos DBのCassandra APIは、カラムファミリーデータモデル向けに設計されており、JSONドキュメントに対応するための最適な選択肢ではありません。JSONドキュメントの柔軟な性質よりも、固定スキーマを持つ構造化データの処理に適しています。,MongoDB,Azure Cosmos DBのMongoDB APIは、JSONドキュメントに対応するための素晴らしい選択肢です。ドキュメントベースのデータモデルを提供し、JSONドキュメントを効率的に保存し、クエリを実行するのに適しています。Azure Cosmos DBでJSONデータを扱うための豊富なクエリ機能と柔軟性を提供します。,,,"1,5",<a href='https://learn.microsoft.com/en-us/azure/cosmos-db/choose-api'>Azure Cosmos DBのAPIの選択について - Microsoft Learn</a><a href='https://learn.microsoft.com/en-us/azure/cosmos-db/mongodb/introduction'>Azure Cosmos DB for MongoDBの概要 - Microsoft Learn</a><a href='https://learn.microsoft.com/en-us/azure/cosmos-db/nosql/modeling-data'>Azure Cosmos DBにおけるデータのモデリング - Microsoft Learn</a>,データストレージソリューションの設計（20–25％）
ある会社は、アプリケーションのために Azure にデータストアを作成する必要があります。データストアは以下の基本要件を満たさなければなりません：<ul><li>JSON ベースのアイテムを保存できる能力</li><li>データストアに対して SQL のようなクエリを使用できる能力</li><li>データアイテムへの低レイテンシアクセス</li></ul>次の選択肢の中で、適切なデータストアとして提案するのはどれですか？,multiple-choice,Azure BLOB ストレージ,Azure BLOB ストレージは非構造化データ用のスケーラブルなオブジェクトストレージソリューションです。JSON ベースのアイテムを保存できますが、データストアに対して SQL のようなクエリをサポートしていないため、会社の要件には適していません。,Azure CosmosDB,Azure CosmosDB は、低レイテンシと高可用性を目的とした、グローバルに分散したマルチモデルデータベースサービスです。JSON ベースのアイテムを保存でき、データストアに対して SQL のようなクエリを許可するため、会社の要件には適した選択肢です。,Azure HDInsight,Azure HDInsight は、完全に管理された Apache Hadoop および Spark クラスターサービスです。大容量データを処理し、分析を行うことはできますが、JSON ベースのアイテムを保存したり SQL のようなクエリをサポートするために特別に設計されていないため、会社の要件にはあまり適していません。,Azure Redis,Azure Redis はインメモリデータストアで、キャッシュまたはメッセージブローカーとして使用できます。データアイテムへの低レイテンシアクセスを提供しますが、JSON ベースのアイテムを保存したり SQL のようなクエリをサポートするためには設計されておらず、Azure CosmosDB と比較して会社の要件にはあまり適していません。,,,,,2,,データストレージソリューションの設計 (20–25%)
あなたは、以下の要件を満たすためのAzure SQL DBの購入オプション、サービスレベル、およびハードウェア選択についての推奨を提供する任務を託されています：<ul><li>コンピュートおよびストレージオプションは独立して選択できるべきです。</li><li>データおよびログストレージの量を選択できるべきです。</li><li>バックアップストレージのレプリケーションオプション（LRS、ZRS、RA-GRSなど）を選択できるべきです。</li><li>コストは予約オプションを選択することで削減できます。</li><li>ハイブリッド特典を活用するべきです。</li></ul>上記のすべての要件を満たすモデルはどれでしょうか？,multiple-choice,vCore モード,Azure SQL DBのvCoreモデルは、コンピュートおよびストレージオプションの独立した選択を可能にし、最初の要件を満たすのに適しています。また、データおよびログストレージの量を選択できる機能や、LRS、ZRS、RA-GRSなどのバックアップストレージのレプリケーションオプションを選択できる機能も提供します。さらに、vCoreモデルはコスト削減のための予約オプションやハイブリッド特典をサポートしており、すべての要件を満たす推奨の選択肢です。,DTUモデル,Azure SQL DBのDTUモデルは、コンピュートおよびストレージオプションを独立して選択することを許可していないため、最初の要件を満たしていません。データおよびログストレージの量を選択するオプションはありますが、LRS、ZRS、RA-GRSなどのバックアップストレージのレプリケーションオプションをサポートしていません。また、DTUモデルはコスト削減のための予約オプションやハイブリッド特典も完全にはサポートしていないため、すべての要件を満たす推奨の選択肢ではありません。,サーバーレスモデル,Azure SQL DBのサーバーレスモデルは、コンピュートおよびストレージオプションを独立して選択する機能を提供していないため、最初の要件を満たしていません。使用状況に基づいてスケーリングの柔軟性は提供しますが、LRS、ZRS、RA-GRSなどのバックアップストレージのレプリケーションオプションをサポートしていません。サーバーレスモデルはコスト削減のための予約オプションやハイブリッド特典も完全にはサポートしていないため、すべての要件を満たす推奨の選択肢ではありません。,エラスティックプール,Azure SQL DBのエラスティックプールは、コンピュートおよびストレージオプションを独立して選択することを許可していないため、最初の要件を満たしていません。複数のデータベースに対して共有リソースを提供しますが、データおよびログストレージの量やLRS、ZRS、RA-GRSなどのバックアップストレージのレプリケーションオプションを選択する能力は提供しません。エラスティックプールはコスト削減のための予約オプションやハイブリッド特典も完全にはサポートしていないため、すべての要件を満たす推奨の選択肢ではありません。,,,,,1,,データストレージソリューションの設計 (20〜25%)
ある企業が、アプリケーションデータを保存するためにAzure SQLマネージドインスタンスを使用しています。インスタンスがワークロードの要求に対応できるようにするためには、どのパラメーターを構成すべきでしょうか？,multi-select,CPUコアの最大数を定義する。,CPUコアの最大数を設定することで、Azure SQLマネージドインスタンスがワークロードの要求に対応できるようにし、クエリや操作を効率的に実行するために必要な処理能力を提供します。,割り当てるストレージの最大容量を定義する。,割り当てるストレージの最大容量を定義することは、Azure SQLマネージドインスタンスがアプリケーションデータを保存するための十分なストレージ容量を持ち、ストレージ不足に陥ることなくワークロードの要求に対処できるようにするために重要です。,データベースあたりのリソースの最大数を定義する。,データベースあたりのリソースの最大数を定義することは、Azure SQLマネージドインスタンスがワークロードの要求に対応できるかどうかには直接関係ありません。このパラメーターは、インスタンス内の個々のデータベースの利用可能なリソースを制限するものであり、全体的なインスタンス容量には関係ありません。,データベースのグループごとの最大リソース制限を定義する。,データベースのグループごとの最大リソース制限を定義することは、Azure SQLマネージドインスタンスがワークロードの要求に対応できるかどうかには特に関連していません。このパラメーターは、インスタンス内のデータベースグループに利用可能なリソースを制限するものであり、全体的なインスタンス容量には関係ありません。,,,,,"1,2",<a href='https://learn.microsoft.com/en-us/azure/azure-sql/database/scale-resources?view=azuresql'>リソースのスケーリング - Azure SQL Database &amp; Azure SQL Managed Instance | Microsoft Learn</a><a href='https://learn.microsoft.com/en-us/azure/azure-sql/managed-instance/sql-managed-instance-paas-overview?view=azuresql'>Azure SQL Managed Instanceとは？ - Azure SQL Managed Instance | Microsoft Learn</a><a href='https://learn.microsoft.com/en-us/azure/azure-sql/managed-instance/service-tiers-managed-instance-vcore?view=azuresql&amp;tabs=azure-portal'>vCore購入モデル - Azure SQL Managed Instance | Microsoft Learn</a>,データストレージソリューションの設計（20–25％）
